dish_well;BLASTO_NY;GV;sibling;timing_GVBD;timing_extrusion_PB;Note;start video;start frame;end video;end frame;0.00h;0.25h;0.50h;0.75h;1.00h;1.25h;1.50h;1.75h;2.00h;2.25h;2.50h;2.75h;3.00h;3.25h;3.50h;3.75h;4.00h;4.25h;4.50h;4.75h;5.00h;5.25h;5.50h;5.75h;6.00h;6.25h;6.50h;6.75h;7.00h;7.25h;7.50h;7.75h;8.00h;8.25h;8.50h;8.75h;9.00h;9.25h;9.50h;9.75h;10.00h;10.25h;10.50h;10.75h;11.00h;11.25h;11.50h;11.75h;12.00h;12.25h;12.50h;12.75h;13.00h;13.25h;13.50h;13.75h;14.00h;14.25h;14.50h;14.75h;15.00h;15.25h;15.50h;15.75h;16.00h;16.25h;16.50h;16.75h;17.00h;17.25h;17.50h;17.75h;18.00h;18.25h;18.50h;18.75h;19.00h;19.25h;19.50h;19.75h;20.00h;20.25h;20.50h;20.75h;21.00h;21.25h;21.50h;21.75h;22.00h;22.25h;22.50h;22.75h;23.00h;23.25h;23.50h;23.75h;24.00h;24.25h;24.50h;24.75h;25.00h;25.25h;25.50h;25.75h;26.00h;26.25h;26.50h;26.75h;27.00h;27.25h;27.50h;27.75h;28.00h;28.25h;28.50h;28.75h;29.00h;29.25h;29.50h;29.75h;30.00h;30.25h;30.50h;30.75h;31.00h;31.25h;31.50h;31.75h;32.00h;32.25h;32.50h;32.75h;33.00h;33.25h;33.50h;33.75h;34.00h;34.25h;34.50h;34.75h;35.00h;35.25h;35.50h;35.75h;36.00h;36.25h;36.50h;36.75h;37.00h;37.25h;37.50h;37.75h;38.00h;38.25h;38.50h;38.75h;39.00h;39.25h;39.50h;39.75h;40.00h;40.25h;40.50h;40.75h;41.00h;41.25h;41.50h;41.75h;42.00h;42.25h;42.50h;42.75h;43.00h;43.25h;43.50h;43.75h;44.00h;44.25h;44.50h;44.75h;45.00h;45.25h;45.50h;45.75h;46.00h;46.25h;46.50h;46.75h;47.00h;47.25h;47.50h;47.75h;48.00h;48.25h;48.50h;48.75h;49.00h;49.25h;49.50h;49.75h;50.00h;50.25h;50.50h;50.75h;51.00h;51.25h;51.50h;51.75h;52.00h;52.25h;52.50h;52.75h;53.00h;53.25h;53.50h;53.75h;54.00h;54.25h;54.50h;54.75h;55.00h;55.25h;55.50h;55.75h;56.00h;56.25h;56.50h;56.75h;57.00h;57.25h;57.50h;57.75h;58.00h;58.25h;58.50h;58.75h;59.00h;59.25h;59.50h;59.75h;60.00h;60.25h;60.50h;60.75h;61.00h;61.25h;61.50h;61.75h;62.00h;62.25h;62.50h;62.75h;63.00h;63.25h;63.50h;63.75h;64.00h;64.25h;64.50h;64.75h;65.00h;65.25h;65.50h;65.75h;66.00h;66.25h;66.50h;66.75h;67.00h;67.25h;67.50h;67.75h;68.00h;68.25h;68.50h;68.75h;69.00h;69.25h;69.50h;69.75h;70.00h;70.25h;70.50h;70.75h;71.00h;71.25h;71.50h;71.75h;72.00h;72.25h;72.50h;72.75h;73.00h;73.25h;73.50h;73.75h;74.00h;74.25h;74.50h;74.75h;75.00h;75.25h;75.50h;75.75h;76.00h;76.25h;76.50h;76.75h;77.00h;77.25h;77.50h;77.75h;78.00h;78.25h;78.50h;78.75h;79.00h;79.25h;79.50h;79.75h;80.00h;80.25h;80.50h;80.75h;81.00h;81.25h;81.50h;81.75h;82.00h;82.25h;82.50h;82.75h;83.00h;83.25h;83.50h;83.75h;84.00h;84.25h;84.50h;84.75h;85.00h;85.25h;85.50h;85.75h;86.00h;86.25h;86.50h;86.75h;87.00h;87.25h;87.50h;87.75h;88.00h;88.25h;88.50h;88.75h;89.00h;89.25h;89.50h;89.75h;90.00h;90.25h;90.50h;90.75h;91.00h;91.25h;91.50h;91.75h;92.00h;92.25h;92.50h;92.75h;93.00h;93.25h;93.50h;93.75h;94.00h;94.25h;94.50h;94.75h;95.00h;95.25h;95.50h;95.75h;96.00h;96.25h;96.50h;96.75h;97.00h;97.25h;97.50h;97.75h;98.00h;98.25h;98.50h;98.75h;99.00h;99.25h;99.50h;99.75h;100.00h;100.25h;100.50h;100.75h;101.00h;101.25h;101.50h;101.75h;102.00h;102.25h;102.50h;102.75h;103.00h;103.25h;103.50h;103.75h;104.00h;104.25h;104.50h;104.75h;105.00h;105.25h;105.50h;105.75h;106.00h;106.25h;106.50h;106.75h;107.00h;107.25h;107.50h;107.75h;108.00h;108.25h;108.50h;108.75h;109.00h;109.25h;109.50h;109.75h;110.00h;110.25h;110.50h;110.75h;111.00h;111.25h;111.50h;111.75h;112.00h;112.25h;112.50h;112.75h;113.00h;113.25h;113.50h;113.75h;114.00h;114.25h;114.50h;114.75h;115.00h;115.25h;115.50h;115.75h;116.00h;116.25h;116.50h;116.75h;117.00h;117.25h;117.50h;117.75h;118.00h;118.25h;118.50h;118.75h;119.00h;119.25h;119.50h;119.75h;120.00h;120.25h;120.50h;120.75h;121.00h;121.25h;121.50h;121.75h;122.00h;122.25h;122.50h;122.75h;123.00h;123.25h;123.50h;123.75h;124.00h;124.25h;124.50h;124.75h;125.00h;125.25h;125.50h;125.75h;126.00h;126.25h;126.50h;126.75h;127.00h;127.25h;127.50h;127.75h;128.00h;128.25h;128.50h;128.75h;129.00h;129.25h;129.50h;129.75h;130.00h;130.25h;130.50h;130.75h;131.00h;131.25h;131.50h;131.75h;132.00h
D2016.11.14_S1895_I106_6;1.0;2.0;0;4.8;20.3;GV_to_M2;0.6;1.0;23.1;90.0;3.75803;3.49194;4.24143;3.04661;4.43457;4.62080;2.96622;3.68617;3.56095;4.07830;2.72671;3.70619;2.73353;3.70099;3.37249;3.58403;4.16195;3.12636;4.37579;4.03187;3.44552;2.63396;2.99882;3.74941;1.78376;0.50462;3.88595;3.51398;3.35065;4.32082;2.79454;3.70881;2.93295;3.83745;2.92763;3.81065;3.45302;2.75153;3.65355;3.01581;2.56670;2.65768;3.94217;3.19625;3.68075;2.71141;3.96718;2.71720;3.12026;2.88480;2.36977;3.87415;2.71267;1.85446;3.98616;2.54945;2.79818;2.59624;3.59166;2.43930;3.11485;3.57281;2.73645;1.72492;2.75207;3.18779;2.22023;-0.03394;1.87676;2.69451;3.27388;3.62168;3.40072;2.67825;3.09635;2.88067;3.48082;3.55259;4.19366;3.78657;3.79205;2.59157;3.11401;3.41492;3.18629;3.75816;3.76243;4.50495;4.25744;4.00993;4.24622;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D2016.11.14_S1895_I106_7;0.0;2.0;0;4.8;16.1;GV_to_M2;0.6;1.0;23.1;90.0;3.96179;3.19650;3.24342;3.15589;2.53896;2.99164;2.48299;3.73721;3.15236;3.02952;2.99357;3.03484;3.20763;3.41533;2.08792;2.40033;2.71275;3.09743;2.65069;-0.12119;1.62773;1.44834;2.61142;2.14408;2.20573;1.77235;2.38098;3.82853;3.57982;3.20875;2.30244;2.27616;2.62636;2.82823;2.62747;3.05562;2.14670;1.74083;1.90854;2.06259;2.32449;2.64412;2.45833;3.14978;2.64599;3.55412;0.60908;2.31946;1.29451;2.35285;2.29565;1.77261;2.35266;2.80658;2.39000;2.21393;3.60753;2.15830;1.49597;2.52068;1.97838;2.62062;3.52719;2.00766;2.86331;2.30652;3.15259;1.99120;2.46777;1.99057;2.89397;2.73616;2.71326;2.86945;2.90400;3.63675;1.85978;2.23415;2.54981;3.03403;1.80362;2.91042;0.78848;2.92152;0.84086;2.39347;1.98842;2.53846;2.59553;2.17894;2.27524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D2017.09.15_S0770_I631_2;0.0;2.0;0;-;20.7;GV_to_M2;0.7;1.0;23.5;91.0;11.77138;12.62390;9.87709;10.73841;8.09938;12.12101;10.86186;11.50379;10.80395;11.29585;-0.59804;6.28929;9.46823;6.46830;8.36191;13.08754;9.87104;11.15859;8.62116;8.60548;6.75368;9.89864;9.65202;11.48237;9.10963;7.73519;7.49512;7.48866;8.74885;8.31388;5.42130;7.88850;2.39217;9.86876;11.05524;9.97536;11.13156;6.56839;8.16884;10.63712;7.10250;8.28123;7.39066;12.53041;6.43371;10.56202;10.61024;11.31195;9.86323;10.96698;8.33659;10.17739;13.48090;15.31434;9.85694;10.63033;6.65245;11.18402;10.10584;8.05487;12.15728;8.64394;8.81784;10.53500;7.13316;12.86734;8.78060;5.74040;6.74523;5.95090;6.10055;6.29294;6.70640;14.80361;11.64043;11.06270;11.31578;11.59815;10.61811;8.83542;10.09291;12.07162;12.32042;7.31580;5.60103;7.23839;8.91004;7.60093;4.07050;9.70547;11.00979;10.71124;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D2017.09.15_S0770_I631_3;1.0;2.0;0;-;16.9;GV_to_M2;0.7;1.0;23.5;91.0;6.69847;9.71657;7.26433;6.97239;7.00303;6.16675;7.27778;7.81520;10.03640;5.35045;6.97319;8.31417;7.73399;4.57843;7.05796;3.50611;5.28126;5.98855;6.79212;7.12197;6.52155;4.10377;5.61812;-0.03326;5.84901;3.03042;0.13305;5.87510;6.85098;6.20895;2.94893;8.12443;4.26952;3.42494;3.71359;3.47461;6.04585;4.52820;4.57340;4.53260;3.19703;3.29277;2.45329;2.44067;6.99571;4.76067;7.22084;4.04307;5.93661;4.05031;5.14607;5.37290;5.22714;6.80048;3.64006;3.12480;6.17825;5.50114;5.31055;3.19835;3.87235;3.60791;7.06622;6.11385;5.48245;3.42550;4.47252;3.14323;4.56665;6.10911;4.66987;5.89605;7.41568;5.41448;6.00809;6.55291;5.09865;3.56138;5.66838;5.51644;5.61277;8.53062;6.50515;6.74008;7.02698;3.58396;6.84092;6.88830;6.03648;7.55544;4.97756;2.78390;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D2017.09.15_S0770_I631_4;0.0;2.0;0;1.2;15.9;GV_to_M2;0.7;1.0;23.5;91.0;2.90147;4.17490;3.42936;2.61880;3.01030;2.39086;2.75122;2.66236;3.37020;3.16666;3.56377;4.26598;2.87698;2.87247;3.87239;3.02363;3.53001;2.84441;3.30967;3.36693;3.42420;2.57080;2.29446;3.62489;2.84951;-0.14108;2.07807;3.17120;3.48322;3.60755;2.14170;3.62374;1.88366;2.88105;1.91942;2.81166;2.69130;2.70645;2.24002;3.86562;2.14120;2.73316;3.03836;2.92628;0.65859;2.85167;2.09549;3.59279;2.89768;3.25785;3.17027;2.93530;3.38197;2.92140;3.58882;3.37357;3.00647;2.65174;2.43571;2.47697;2.12633;2.79611;3.43591;3.17164;2.55582;2.90862;3.78434;3.00016;3.06154;2.88089;3.74107;3.91396;2.84650;3.24784;2.57324;3.82232;3.55442;3.21990;3.62239;4.04704;3.32861;2.95789;3.18620;3.69695;2.92920;2.71945;2.82596;3.22445;3.41581;4.01686;3.79590;3.32627;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D2018.09.18_S01710_I0406_D_1;0.0;2.0;0;6.9;21.4;GV_to_M2;0.1;1.0;24.6;99.0;4.87793;5.15665;4.60961;4.15169;5.36442;4.39860;4.27477;2.87653;2.59433;4.35684;5.63742;3.96626;3.86875;3.02189;5.34415;6.46816;4.06637;2.19664;3.32373;2.84124;2.25359;2.98696;3.49757;3.08582;4.72176;3.76871;2.66677;3.96592;3.04109;4.33319;3.18161;4.19444;6.14452;5.97422;5.58130;4.17051;3.86093;3.96046;3.14185;3.19553;6.66049;4.21627;4.26671;3.26253;2.78558;3.85647;2.99170;0.41689;2.01837;2.70099;3.27237;2.90960;3.90150;2.97273;4.55245;3.63205;2.60932;2.60962;2.86588;3.06367;2.84461;4.19242;2.58160;3.27659;3.54928;3.71819;2.54271;4.20116;1.43554;1.85840;2.27405;2.95894;2.78661;2.99413;2.99607;2.81486;2.42976;2.60251;3.44024;4.22655;3.72409;2.60444;2.66165;4.59437;3.99842;2.71099;3.67160;5.12179;5.52147;5.44051;5.34122;5.25125;6.19585;6.57655;5.06093;4.59470;5.79880;4.92419;4.74994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D2018.09.18_S01710_I0406_D_2;0.0;2.0;0;0.4;17.9;GV_to_M2;0.1;1.0;24.6;99.0;8.94093;-0.53109;6.90379;4.27049;3.65366;4.49216;11.81207;4.83603;6.15791;4.49423;3.39768;7.56699;5.37638;7.04014;7.10439;5.43841;5.87833;6.41391;5.72794;5.45982;8.83596;8.52680;6.81560;4.99538;8.62648;5.26528;5.44799;4.59987;6.55753;4.90000;5.34136;5.86503;7.84932;4.49839;7.03356;8.23855;6.73859;9.46126;8.34979;4.98359;4.32708;6.20987;5.08957;7.82390;7.58825;4.86291;4.62857;9.30050;8.06004;6.58470;6.02333;4.53699;5.57034;7.01089;7.27014;5.13331;8.67681;7.89001;6.37016;5.39536;7.03069;8.93991;7.65871;7.02391;5.37317;6.41309;6.29811;4.20450;4.30410;5.78550;5.89159;7.97798;9.84816;9.51146;5.82332;5.22863;5.07214;5.05050;4.87987;4.00529;7.96297;7.78413;8.27238;8.50494;9.06629;9.26347;10.21773;8.12017;7.80424;9.38118;8.71202;7.22748;9.57049;3.74603;8.27075;11.73982;9.92187;10.72560;9.22282;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D2018.09.18_S01710_I0406_D_4;0.0;2.0;0;5.1;24.1;GV_to_M2;0.1;1.0;24.6;99.0;3.83421;4.38091;5.14816;5.48468;6.73977;5.96170;4.57995;4.84698;5.60941;6.17586;5.08448;6.11015;5.17552;5.98334;3.47776;0.26009;3.52735;5.14981;5.73548;4.36631;1.60621;4.77996;5.23134;5.41603;3.91155;4.32862;5.02329;6.54126;5.27650;6.52993;6.00835;6.14550;5.00103;4.91707;4.06049;6.76086;4.70905;4.26090;4.46754;4.16266;4.44941;5.31232;5.33629;4.29762;3.52247;5.18135;5.66839;4.24872;3.39132;4.28272;5.19347;4.23985;3.66089;4.49486;4.93259;4.58778;5.73246;4.42458;4.27447;3.94355;5.12435;8.75753;7.99006;5.50450;5.62749;4.43688;4.06762;5.87592;6.13418;4.69560;5.50925;4.95027;4.63950;4.67070;4.09163;5.32867;5.34044;4.83481;4.40284;5.47239;5.56011;4.57089;5.21428;5.57621;6.30050;4.46680;4.61346;4.45251;3.51266;5.41886;4.22836;6.72315;4.31252;6.47199;6.37532;4.65280;4.93695;5.92318;5.62627;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D2018.12.21_S02510_I0106_D_1;0.0;2.0;0;6.8;20.3;GV_to_M2;0.1;1.0;23.8;96.0;3.73360;6.43036;-0.19068;4.31546;4.59484;3.82383;5.25147;4.16703;6.79773;5.14068;7.16605;4.82759;6.00411;6.73980;6.19753;3.73565;6.74654;7.19265;5.37323;4.49803;6.29223;5.44219;4.48429;4.26765;4.57549;4.86473;4.95708;5.21579;5.75506;4.40705;5.68223;5.01662;4.67672;3.30686;3.83437;4.35541;4.88485;4.10374;4.86239;4.96159;6.32328;4.95561;5.30316;4.82449;5.05036;4.50148;6.44049;4.75049;6.43992;4.29332;4.61434;5.92961;4.18624;4.70247;4.26086;6.41581;6.42558;4.50478;6.01778;5.42926;6.57289;6.62840;4.82129;4.78799;6.73283;5.67460;4.70228;5.20253;6.62220;4.09073;5.22663;0.94335;5.00640;6.05409;4.98905;6.12755;5.20436;5.31750;4.94971;4.62219;4.09213;5.06186;4.00766;3.65044;3.85447;5.69124;6.96852;3.95516;6.05970;3.84577;4.33911;4.44196;5.07404;5.72906;6.47909;4.40546;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D2018.12.21_S02510_I0106_D_2;0.0;2.0;0;1.1;17.1;GV_to_M2;0.1;1.0;23.8;96.0;7.62592;8.27016;5.48357;7.11490;6.78353;5.90532;5.49947;6.06862;6.71307;9.34630;10.87084;7.96594;8.50315;9.34178;9.05351;5.93725;7.37132;7.99172;7.67617;5.31874;8.82281;7.36567;6.16828;9.34175;7.17984;5.43554;4.55675;6.81415;10.15006;7.53115;7.29545;8.75277;7.30903;6.26063;6.12026;7.87023;8.52870;6.29824;8.11471;6.74541;6.33545;6.06217;6.97051;5.05175;6.35822;8.61307;4.44538;8.15509;6.47773;5.34029;9.21907;6.45828;7.94712;1.35365;6.55480;8.66205;6.36980;7.74985;6.18889;6.60850;7.11602;7.16130;5.27343;5.45447;7.71486;7.79396;6.56043;6.30800;6.56091;5.86485;7.40912;6.65936;5.30430;9.35455;9.18046;6.84582;7.10848;6.46407;8.77932;0.03020;6.38120;7.48168;6.99939;5.93196;8.21940;8.45991;8.00383;9.11155;7.77017;7.74405;8.31241;7.94828;6.51312;9.66800;10.99306;8.43142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
